Title,Price,Promotional Price,Price Per,Product URL,Image URL
H.W Nevills 8 Plain Tortilla Wraps,€1.19,,€0.15/each,https://www.tesco.ie/groceries/en-IE/products/304416929,https://digitalcontent.api.tesco.com/v2/media/ghs/4f58f628-0950-40fe-97e8-04edce7087c2/1022880d-76a2-4a86-a35e-88734ea33f4c_366174797.jpeg?h=225&w=225
Fitzgerald 5 Plain Bagels 425G,€2.20,,€5.18/kg,https://www.tesco.ie/groceries/en-IE/products/268947327,https://digitalcontent.api.tesco.com/v2/media/ghs/febb2c89-1f88-40bc-a6b6-20b104ac7d63/snapshotimagehandler_1931833223.jpeg?h=225&w=225
Tesco Plain Burger Bun 6 Pack,€0.99,,€0.16/each,https://www.tesco.ie/groceries/en-IE/products/301324979,https://digitalcontent.api.tesco.com/v2/media/ghs/27d135f9-e0fc-41f2-bea1-dc999cef1a88/snapshotimagehandler_1098459098.jpeg?h=225&w=225
H.W. Nevill's Part Baked Baguette 2 Pack,€0.99,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/299668276,https://digitalcontent.api.tesco.com/v2/media/ghs/1583b123-ead8-49d0-b43c-e21b30a141c8/15b9d98d-a021-4f15-b9dc-5a37cf648589.jpeg?h=225&w=225
Tesco Seeded Burger Bun 6 Pack,€0.99,,€0.16/each,https://www.tesco.ie/groceries/en-IE/products/301325000,https://digitalcontent.api.tesco.com/v2/media/ghs/30586711-928a-4415-b6a1-e82d78c22b45/snapshotimagehandler_1455732549.jpeg?h=225&w=225
Tesco 8 Mini White Tortilla Wraps,€0.95,,€0.12/each,https://www.tesco.ie/groceries/en-IE/products/303350415,https://digitalcontent.api.tesco.com/v2/media/ghs/3db22ffa-8d9f-4fb4-9014-2bf760568e90/5b81efca-31d1-43ad-9d75-27239fd6c448.jpeg?h=225&w=225
Fitzgeralds 5 Sesame Bagels 425G,€2.22,,€5.22/kg,https://www.tesco.ie/groceries/en-IE/products/268947333,https://digitalcontent.api.tesco.com/v2/media/ghs/a5396899-acaa-4e50-83f5-c335152387c6/snapshotimagehandler_274374657.jpeg?h=225&w=225
Fitzgeralds 6 Kids Wraps Plus 2 Free 320G,€2.09,,€6.53/kg,https://www.tesco.ie/groceries/en-IE/products/268556716,https://digitalcontent.api.tesco.com/v2/media/ghs/26a2a6f5-f714-47e4-9714-dda3526b5760/snapshotimagehandler_887768184.jpeg?h=225&w=225
Tesco Family Hot Dog Rolls 6 Pack,€0.99,,€0.16/each,https://www.tesco.ie/groceries/en-IE/products/268849363,https://digitalcontent.api.tesco.com/v2/media/ghs/085d7f19-b2c3-4e86-b042-59dfe5beeeb5/snapshotimagehandler_1256904400.jpeg?h=225&w=225
Tesco Bake At Home Petit Pain 6 Pack,€2.05,,€6.83/kg,https://www.tesco.ie/groceries/en-IE/products/290239349,https://digitalcontent.api.tesco.com/v2/media/ghs/eaa4eaed-f039-451a-8e15-2b1107e63133/5ca1c257-e389-47e9-a83d-a18c87a7ea14.jpeg?h=225&w=225
Tesco 8 Plain Tortilla Wraps,€1.99,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/303350352,https://digitalcontent.api.tesco.com/v2/media/ghs/136a5bb3-8efe-4a85-8b20-26afa5d65763/1f8af822-6717-4051-af05-5a5f59e98f21.jpeg?h=225&w=225
Tesco White Soft Grain Sub Rolls 4 Pack,€0.80,,€0.20/each,https://www.tesco.ie/groceries/en-IE/products/283629561,https://digitalcontent.api.tesco.com/v2/media/ghs/436f7652-0d99-45b3-b669-84576f7af745/snapshotimagehandler_188074704.jpeg?h=225&w=225
Fitzgeralds 5 Cinnamon And Raisin Bagels,€2.22,,€5.22/kg,https://www.tesco.ie/groceries/en-IE/products/268947448,https://digitalcontent.api.tesco.com/v2/media/ghs/ee30476e-8512-4420-af15-9d62fae786dd/snapshotimagehandler_101375072.jpeg?h=225&w=225
Fitzgeralds 6 M/Seed And Cereal Bagel Slims 273G,€2.29,€1.75 Clubcard Price,€8.39/kg,https://www.tesco.ie/groceries/en-IE/products/280172540,https://digitalcontent.api.tesco.com/v2/media/ghs/1167765e-e6d1-41ce-b4c6-43ebe4038f6a/snapshotimagehandler_1481405673.jpeg?h=225&w=225
Fitzgeralds 6 Plain Bagel Slims 288G,€2.24,€1.75 Clubcard Price,€7.78/kg,https://www.tesco.ie/groceries/en-IE/products/278006919,https://digitalcontent.api.tesco.com/v2/media/ghs/51f668bd-7106-4f2b-998c-b08dff56093e/snapshotimagehandler_227880984.jpeg?h=225&w=225
Fitzgeralds Wholemeal Bagels,€2.22,,€5.22/kg,https://www.tesco.ie/groceries/en-IE/products/268947419,https://digitalcontent.api.tesco.com/v2/media/ghs/11344302-1a23-4ac5-838c-6818f5c90353/snapshotimagehandler_1730700572.jpeg?h=225&w=225
Tesco Petit Pain 4 Pack,€1.20,,€0.30/each,https://www.tesco.ie/groceries/en-IE/products/252017163,https://digitalcontent.api.tesco.com/v2/media/ghs/f59ba10f-4b4c-491d-8927-30e742dd5f98/snapshotimagehandler_384771207.jpeg?h=225&w=225
Fitzgeralds Wholemeal Wraps 370G,€2.39,,€6.46/kg,https://www.tesco.ie/groceries/en-IE/products/275113912,https://digitalcontent.api.tesco.com/v2/media/ghs/56014f7b-6fb2-4cfd-bdfd-a531758919e5/5a2c604f-2c4e-4460-aab1-adca32cf4488_708345622.jpeg?h=225&w=225
Fitzgeralds 6 Wholemeal Bagel Slims 263G,€2.24,€1.75 Clubcard Price,€8.52/kg,https://www.tesco.ie/groceries/en-IE/products/278020274,https://digitalcontent.api.tesco.com/v2/media/ghs/a2ccf02f-93d4-40b0-81cc-5a3f6e6859a0/snapshotimagehandler_35596949.jpeg?h=225&w=225
H.W Nevills 8 Wholemeal Tortilla Wrap,€1.27,,€0.16/each,https://www.tesco.ie/groceries/en-IE/products/304403151,https://digitalcontent.api.tesco.com/v2/media/ghs/17cad1c3-2237-4055-b78c-cc7045908e91/db543fec-ae2a-40f3-82e4-ee3641791d14_890647359.jpeg?h=225&w=225
Fitzgeralds Poppy Seeded Bagels 425G,€2.22,,€5.22/kg,https://www.tesco.ie/groceries/en-IE/products/273593046,https://digitalcontent.api.tesco.com/v2/media/ghs/4757889b-3cdd-485f-b461-84c7920ed704/snapshotimagehandler_648484979.jpeg?h=225&w=225
Fitzgeralds 6 Large Plain Wraps 370G,€2.39,,€6.46/kg,https://www.tesco.ie/groceries/en-IE/products/283560709,https://digitalcontent.api.tesco.com/v2/media/ghs/76e24447-aa9f-44c6-86f5-5da392332b9f/78321644-ef06-4989-9e88-6b76fe4695ed_2122932689.jpeg?h=225&w=225
Tesco 4 Brioche Burger Buns 260G,€2.00,,€7.69/kg,https://www.tesco.ie/groceries/en-IE/products/314120562,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
St Pierre 6 Brioche Buns Sliced,€3.89,,€0.65/each,https://www.tesco.ie/groceries/en-IE/products/301971576,https://digitalcontent.api.tesco.com/v2/media/ghs/c87348e8-e4e0-412f-924a-c0ee66528e73/6c1acd54-0c59-40a2-8157-fd0677a89324_304406213.jpeg?h=225&w=225
Fitzgeralds Multiseed & Cereal Bagels 425G,€2.22,,€5.22/kg,https://www.tesco.ie/groceries/en-IE/products/273593236,https://digitalcontent.api.tesco.com/v2/media/ghs/8a9bd08c-9a82-4a0f-b821-35c6d5eb0ffa/snapshotimagehandler_840188645.jpeg?h=225&w=225
St Pierre 4 Seeded Brioche Burger Buns,€3.25,,€0.81/each,https://www.tesco.ie/groceries/en-IE/products/301971599,https://digitalcontent.api.tesco.com/v2/media/ghs/b940f800-4f77-48e6-a4a6-cb10a6866ca7/babaee36-5929-4649-818e-3168978a9a81_1938453642.jpeg?h=225&w=225
Tesco Muffins 6'S,€1.80,,€0.30/each,https://www.tesco.ie/groceries/en-IE/products/285670386,https://digitalcontent.api.tesco.com/v2/media/ghs/a5011200-3954-44e1-87d0-948504f68bf8/snapshotimagehandler_1741108674.jpeg?h=225&w=225
Tesco Family Large Seeded Burger Bun 480G,€1.05,,€2.19/kg,https://www.tesco.ie/groceries/en-IE/products/268849357,https://digitalcontent.api.tesco.com/v2/media/ghs/2ffe8d1f-db93-4913-a95d-53265932c1ed/snapshotimagehandler_1673857894.jpeg?h=225&w=225
Tesco Wholemeal Softgrain Sub Rolls 4 Pack,€0.80,,€0.20/each,https://www.tesco.ie/groceries/en-IE/products/283629630,https://digitalcontent.api.tesco.com/v2/media/ghs/eda3acdc-5d79-46fa-90d9-ae7906c4952b/snapshotimagehandler_1845468183.jpeg?h=225&w=225
Brennans Plain Bagel 440G,€2.15,,€4.89/kg,https://www.tesco.ie/groceries/en-IE/products/287042021,https://digitalcontent.api.tesco.com/v2/media/ghs/f3355a04-faad-4161-9e5b-dd3c2019a4eb/e45f912a-7d23-4720-ac65-2e50a79650a6.jpeg?h=225&w=225
Tesco Homebake Baguettes 2 Pack,€1.39,,€4.63/kg,https://www.tesco.ie/groceries/en-IE/products/253551789,https://digitalcontent.api.tesco.com/v2/media/ghs/1f01c170-b7e8-474d-94bc-f0fd4b932526/35ad1bb8-bda2-442d-b29a-eedc2e234316.jpeg?h=225&w=225
Tesco White Stone Baked Baguette,€1.50,,€1.50/each,https://www.tesco.ie/groceries/en-IE/products/308495944,https://digitalcontent.api.tesco.com/v2/media/ghs/21e26221-5538-4c92-bfc4-89bfce068ad9/8cde802e-d6f1-4ceb-8060-58f5d2f01c45.jpeg?h=225&w=225
Fitzgeralds Bkry Sour Dough Demi Baguettes 2 Pack,€2.49,,€1.24/each,https://www.tesco.ie/groceries/en-IE/products/301965169,https://digitalcontent.api.tesco.com/v2/media/ghs/e6966139-97ab-4606-aa76-d9367a9dee1a/snapshotimagehandler_637288380.jpeg?h=225&w=225
Fitzgeralds Tomato Wraps 370G,€2.49,,€6.73/kg,https://www.tesco.ie/groceries/en-IE/products/275114024,https://digitalcontent.api.tesco.com/v2/media/ghs/ca44f758-8208-48e3-b2e3-33226d3fb1df/729eb23e-4bed-4040-a9a9-d1aafd0a6e2d_535397658.jpeg?h=225&w=225
Slimsters Wholemeal Square Breads 4 Pack,€1.69,,€9.39/kg,https://www.tesco.ie/groceries/en-IE/products/279667117,https://digitalcontent.api.tesco.com/v2/media/ghs/7b97b5cb-4b23-4a1b-97bd-da903d1c4d46/snapshotimagehandler_1906984772.jpeg?h=225&w=225
Tesco 8 Wholemeal Tortilla Wraps,€1.99,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/303350398,https://digitalcontent.api.tesco.com/v2/media/ghs/734dcc5b-3280-4305-bb8a-19e4958b6bf9/f15b2162-1ec2-4c0c-a594-2104ec8e61ca.jpeg?h=225&w=225
Brennans Be Good Wholemeal Sandwich 160G,€1.30,€1.00 Clubcard Price,€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/288826803,https://digitalcontent.api.tesco.com/v2/media/ghs/627c755b-3f4b-4c50-90f8-89e55de0cc43/7a3c336d-dbe5-4348-aa20-576318eae5d0.jpeg?h=225&w=225
Irish Pride Brioche Burger Buns 4 Pack 280G,€2.25,,€8.04/kg,https://www.tesco.ie/groceries/en-IE/products/304364311,https://digitalcontent.api.tesco.com/v2/media/ghs/e1f35c09-ba9f-4eeb-9d76-56573251708f/snapshotimagehandler_1742177961.jpeg?h=225&w=225
Brennans 5 Pre Sliced Sesame Bagels 450G,€2.15,,€4.78/kg,https://www.tesco.ie/groceries/en-IE/products/310650735,https://digitalcontent.api.tesco.com/v2/media/ghs/85fed280-5bfe-4c9e-990a-3f21c5d415f9/f7d369d7-09d8-4d60-8a3a-99c3d60a14ce_168047291.jpeg?h=225&w=225
Fitzgeralds 6Largemultigrain Wraps 370G,€2.55,,€0.42/each,https://www.tesco.ie/groceries/en-IE/products/283507164,https://digitalcontent.api.tesco.com/v2/media/ghs/21e8c938-3b66-4cf3-9f47-25967025d4c3/9e0d525e-ca0d-4bb0-bfeb-52c50c3875f1_2058915372.jpeg?h=225&w=225
